Come quickly!	Przyjdź szybko!
I could use some sleep.	Z chęcią bym się trochę przespał.
There is something about him I don't like.	Jest w nim coś, co mi się nie podoba.
Now I recognize you.	Teraz cię poznaję.
I thought you said nobody liked Tom.	Myślałem, że mówisz, że nikt nie lubi Toma.
Tom is a video game developer.	Tom jest deweloperem gier wideo.
Japan is smaller than Canada.	Japonia jest mniejsza od Kanady.
Aren't you coming?	Nie przychodzisz?
She gladly accepted his proposal.	Chętnie przyjęła jego propozycję.
I like running.	Lubię biegać.
Have you seen my sister?	Widziałeś moją siostrę?
You have time.	Masz czas.
The Romanians from Transylvania speak very slowly.	Rumuni z Siedmiogrodu mówią bardzo powoli.
You did it again.	Znowu to zrobiłeś.
Stop it, please.	Proszę, przestań.
Give me some milk, too.	Daj mi też trochę mleka.
What are you doing here so early?	Co robisz tu tak wcześnie?
We've got to get help.	Musimy wezwać pomoc.
What would you like to drink today?	Czego chciałbyś się dzisiaj napić?
Call me at the office.	Zadzwoń do mnie do biura.
I've got nothing to hide.	Nie mam nic do ukrycia.
Slow down!	Przystopuj trochę!
I never read the book.	Nie czytałem tej książki.
One can always find time.	Zawsze można znaleźć czas.
These types of books have almost no value.	Ten typ książek jest praktycznie bezwartościowy.
Tom lent me some money.	Tom pożyczył mi trochę pieniędzy.
I'm a thirty-year-old unmarried woman.	Jestem niezamężną trzydziestolatką.
Tom needs to get back to work.	Tom musi wrócić do pracy.
Tom is eating his favorite ice cream.	Tom je swoje ulubione lody.
You can tell the truth.	Możesz powiedzieć prawdę.
I promise to give my all.	Obiecuję dać z siebie wszystko.
That would be hard.	To byłoby trudne.
Tom is a spoiled child.	Tom jest rozpieszczonym dzieckiem.
We've lost power.	Straciliśmy siłę.
Tom said we needed to keep trying.	Tom powiedział, że musimy dalej próbować.
We don't have a problem.	Nie mamy problemu.
Old people walk slowly.	Starzy ludzie chodzą powoli.
That's just what I wanted.	Tego właśnie potrzebowałem.
She's smarter than Mary, but not as beautiful as Mary.	Jest mądrzejsza od Mary, ale nie jest tak piękna jak ona.
Tom does basically the same thing as Mary does.	Tom robi w zasadzie to samo, co Mary.
The apartment was furnished in the Victorian style.	Mieszkanie zostało urządzone w stylu wiktoriańskim.
I was raised on the east side of Boston.	Wychowałem się we wschodniej części Bostonu.
It's nice to see you.	Dobrze cię widzieć.
I am a football player.	Jestem piłkarką.
A curious disease struck the town.	Dziwna choroba zaatakowała miasto.
I was just wondering if you have any experiences you would like to share with us.	Ciekawe, czy masz jeszcze jakieś doświadczenia, którymi chciałbyś się z nami podzielić.
Tom is doing the laundry.	Tom robi pranie.
I hate you.	Mam cię w dupie.
I don't think Tom will ever be able to do that.	Nie sądzę, aby Tom byłby w stanie to kiedykolwiek zrobić.
Are you a teacher here or a student?	Jesteś tu nauczycielem czy studentem?
I'd like to learn French in Paris.	Chciałbym uczyć się francuskiego w Paryżu.
Tom and Mary will have their 13th wedding anniversary soon.	Tom i Mary będą niedługo obchodzić trzynastą rocznicę ślubu.
I'm not ignoring you.	Nie ignoruję cię.
He can't make this.	On nie da rady.
Does Tom believe in magic?	Czy Tom wierzy w magię?
He was so sad that he almost went mad.	Był zrozpaczony do szaleństwa.
My chest hurts.	Boli mnie klatka piersiowa.
This sort of thing happens.	Takie rzeczy się zdarzają.
Tom left a message for Mary.	Tom zostawił wiadomość do Mary.
Tom is extremely drunk.	Tom jest nadzwyczaj pijany.
The shirts are dry.	Koszule są suche.
Are you still in love with your wife?	Wciąż kochasz żonę?
Tom volunteers.	Tom zgłasza się na ochotnika.
Won't you have some tea?	Może herbatki?
What was your first impression of me?	Jakie było twoje pierwsze wrażenie o mnie?
I stayed in Boston for three days.	Zostałem w Bostonie na trzy dni.
Tom checked into the hotel.	Tom zameldował się w hotelu.
Don't you just love it?	Czy to nie jest po prostu piękne?
There's a traitor among us.	Wśród nas jest zdrajca.
I need a word with you.	Musimy zamienić słówko.
How long does it take?	Jak długo to zajmuje?
Tom didn't want to tell Mary that her son was dead.	Tom nie chciał mówić Mary, że jej syn jest martwy.
I don't think Tom is as stupid as he looks.	Nie sądzę, żeby Tom był aż tak głupi, na jakiego wygląda.
Are you busy?	Czy jesteś zajęty?
Why did you buy the flowers?	Czemu kupiłeś kwiaty?
It looks familiar.	Wygląda podobnie.
Tom sneaked up behind me.	Tom podkradł się do mnie od tyłu.
I made plans.	Stworzyłem plany.
I can't stop thinking about that.	Nie mogę przestać myśleć o tym.
He hastily packed his bags.	Gorączkowo pakował bagaże.
Tom speaks five languages, but doesn't know how to be polite in any of them.	Tom mówi w pięciu językach, ale nie umie być uprzejmy w żadnym z nich.
Tom invited me.	Tom zaprosił mnie.
I left the radio on.	Zostawiłem włączone radio.
She is already back.	Ona jest już z powrotem.
This school was founded in 1650.	Ta szkoła została założona w roku 1650.
I've always wanted to sing on stage.	Zawsze chciałem śpiewać na scenie.
He's an old timer.	To stary wyjadacz.
Air is to men what water is to fish.	Powietrze jest dla człowieka tym, czym woda dla ryby.
Practice makes perfect.	Praktyka czyni mistrzem.
Tom won't call Mary.	Tom nie zadzwoni do Mary.
It amazed me.	To zbiło mnie z tropu.
Tom thinks Mary will be suspicious.	Tom myśli, że Mary będzie podejrzliwa.
She couldn't go to the wedding.	Nie mogła iść na wesele.
How can I make a telephone call to Japan?	Jak mogę wykonać połączenie telefoniczne do Japonii?
There wasn't a single free seat in the hall.	W holu nie było ani jednego wolnego miejsca.
She tripped on the stone.	Potknęła się o kamień.
Time will show which of us is right.	Czas pokaże, który z nas ma rację.
He told me that his father was dead.	Powiedział mi że jego ojciec nie żyje.
Tom puts milk in his coffee.	Tom dodaje mleko do kawy.
I ate the meat.	Zjadłem mięso.
You always fail.	Zawsze przegrywasz.
It's a reasonable conclusion.	Jest to rozsądny wniosek.
She is learning the piano.	Ona się uczy grać na pianinie.
She called me in the afternoon.	Zadzwoniła do mnie po południu.
Try to prove them wrong.	Spróbuj im udowodnić, że są w błędzie.
You don't mess around with Tom.	Z Tomem się nie zadziera.
Tom wants to know how long you plan to be in Boston.	Tom chce wiedzieć, jak długo planujesz być w Bostonie.
I believe you.	Wierzę ci.
I no longer need it.	Już tego nie potrzebuję.
Tom will be sorry.	Tom będzie żałował.
Put that on my bill.	Dodaj to do mojego rachunku.
I can't afford anything more expensive.	Nie stać mnie na nic droższego.
I've never spoken to the old man who lives next door.	Nigdy nie rozmawiałem ze starszym panem mieszkającym obok mnie.
That's true.	To prawda.
I need my boots.	Potrzebuję moich butów.
Don't throw out this magazine. I haven't read it yet.	Nie wyrzucaj tego magazynu. Nie czytałem go jeszcze.
What more do you want from me?	Czego jeszcze ode mnie chcesz?
I can give you a few tips on how to win the game.	Mogę dać ci kilka wskazówek, jak wygrać grę.
I thought that that was the case.	Myślałem, że tak właśnie było.
I'm not going to the movies tomorrow.	Jutro nie idę do kina.
Could you hold on a second?	Możesz poczekać sekundkę?
It's starting to snow.	Zaczyna padać śnieg.
I can't figure out how to delete what I just posted.	Nie wiem jak zlikwidować swój ostatni wpis.
Don't you want to go?	Nie chcesz iść?
You look amazing.	Wyglądasz fantastycznie.
I am human.	Jestem człowiekiem.
Could you give an example?	Czy mógłbyś dać jakiś przykład?
I'm naked.	Jestem nagi.
Tom was trying hard not to laugh out loud.	Tom bardzo starał się nie śmiać głośno.
I need something to eat.	Potrzebuję czegoś do jedzenia.
She gets a high salary.	Dostaje wysoką płacę.
Tom has long hair.	Tom ma długie włosy.
I want a scooter.	Chciałbym hulajnogę.
I'm a volunteer.	Jestem wolontariuszem.
It was nice of you to help Tom do what needed to be done.	To było miłe z twojej strony, że pomogłeś Tomowi zrobić to, co trzeba było.
Can I pay with a credit card?	Czy mogę zapłacić kartą kredytową?
My hobbies are cooking and reading.	Moje hobby to gotowanie i czytanie książek.
Tom accidentally set fire to the curtain.	Tom przez przypadek podpalił zasłonę.
He did not speak at all.	Nie powiedział ani słowa.
Follow him.	Śledź go.
Don't look down on others.	Nie patrz na innych z góry.
How are we going to manage without Tom?	Jak sobie poradzimy bez Toma?
Did you bring a weapon?	Czy przyniosłeś broń?
It's an excellent solution.	To jest doskonałe rozwiązanie.
I'm going to rest today.	Zamierzam dzisiaj odpocząć.
They won't stay.	Nie zostaną.
Go on without me.	Idź dalej beze mnie.
Tom plans to go to Boston as soon as he can after his summer vacation begins.	Tom planuje jechać do Bostonu najwcześniej, jak to możliwe, po rozpoczęciu wakacji letnich.
These are my children.	To są moje dzieci.
I sleep in my room.	Śpię w swoim pokoju.
I'm sorry if I spoke out of turn.	Przepraszam, jeśli wypowiedziałem się poza kolejnością.
They never lost touch.	Oni nigdy nie stracili kontaktu.
The police aren't chasing us anymore.	Policja już nas nie szuka.
Tom cheered.	Tom wiwatował.
This is totally reasonable.	Jest to całkowicie uzasadnione.
I went to the library.	Poszedłem do biblioteki.
That's the reason we got divorced.	To jest powód, dla którego się rozwiedliśmy.
Let's do that with Tom.	Zróbmy to z Tomem.
Many rich people live in this neighborhood.	Wielu bogatych ludzi mieszka w tej okolicy.
I have a high temperature.	Mam wysoką temperaturę.
Tom didn't go home.	Tom nie poszedł do domu.
I don't like the heat.	Nie lubię gorąca.
It seems like just yesterday that we first met.	Nasze pierwsze spotkanie wydaje się, jakby było wczoraj.
I want to visit Korea.	Chciałbym odwiedzić Koreę.
I shouldn't have to tell you to keep your room clean.	Dlaczego muszę ci przypominać o sprzątaniu pokoju?
She wept bitterly.	Gorzko płakała.
All were present.	Wszyscy byli obecni.
You can't drink seawater because it's too salty.	Nie można pić wody morskiej, bo jest zbyt słona.
I'm sending Tom to school in Boston.	Posyłam Toma do szkoły w Bostonie.
I'm bushed.	Jestem wyczerpany.
The couple was walking arm in arm.	Szli pod ramię.
I'll go to the hospital.	Pójdę do szpitala.
The doctor is over there.	Lekarz jest tam.
Did I win?	Wygrałem?
It was totally my fault.	To była całkowicie moja wina.
I thought that guy had a gun, so I shot him.	Myślałem, że ten facet ma broń, więc zastrzeliłem go.
Tom picked up his toolbox and went home.	Tom wziął swoją skrzynkę z narzędziami i poszedł do domu.
Tom is a hairdresser.	Tom jest fryzjerem.
I hear laughing.	Słyszałam śmiech.
I've learned to think like Tom thinks.	Nauczyłem się myśleć tak, jak Tom.
Please say that once again in French.	Powiedz to, proszę, jeszcze raz po francusku.
I thought that someone had died.	Myślałem, że ktoś umarł.
Four families were killed in the fire.	Cztery rodziny straciły życie w pożarze.
The brake didn't work.	Hamulec nie działał.
How will this all end?	Jak to wszystko się zakończy?
It was very quiet.	To było bardzo ciche.
There was a light drizzle.	Padała lekka mżawka.
I was very glad to get a present from her.	Byłem bardzo zadowolony z otrzymania od niej prezentu.
Have you ever seen a UFO?	Widział pan kiedyś UFO?
Come near the fire.	Zbliż się do ognia.
College is a waste of time.	Studia to marnacja czasu.
Tom would've wanted to be included.	Tom chciałby być uwzględniony.
Tom stayed at home all day.	Tom został w domu na cały dzień.
Tom looks strong.	Tom wygląda na silnego.
It was a very hot day.	To był gorący dzień.
Write your address here.	Napisz tutaj swój adres.
I'm smashed.	Jestem naćpany.
I don't have any experience.	Nie mam żadnego doświadczenia.
A promise is not enough.	Obietnica to za mało.
How tragic!	Co za tragedia!
I have some French books.	Mam trochę francuskich książek.
Let's find somewhere else to hide this.	Znajdźmy jakieś inne miejsce żeby to schować.
Everything depends on money.	Wszystko zależy od pieniędzy.
Why should I buy a new car?	Czemu powinienem kupić nowy samochód?
How's your father?	Jak się ma twój ojciec?
I'm never coming back here again.	Nigdy tutaj nie wrócę.
Tom didn't tell anyone he had thought about doing that.	Tom nie przyznał się nikomu, że zastanawiał się czy aby tego nie zrobić.
Quiet down.	Uspokójcie się.
This is a pun.	To jest gra słów.
I don't like long drives.	Nie lubię długiej jazdy samochodem.
She made elaborate preparations for the party.	Prowadziła skomplikowane przygotowania do przyjęcia.
Could you take care of that?	Czy moglibyście się tym zająć?
Tom has three cameras.	Tom ma trzy aparaty.
Tom reached for his knife.	Tom sięgnął po nóż.
It's the only possible explanation.	To jedyne możliwe wyjaśnienie.
Our school's principal is very old.	Dyrektor naszej szkoły jest bardzo stary.
They are actors.	Oni są aktorami.
Can you please watch my bag?	Czy mógłbyś proszę popilnować mojej torby?
Better late than never.	Lepiej późno niż wcale.
That's impossible for me.	To dla mnie niemożliwe.
Nobody wants to play with Tom.	Nikt nie chce grać z Tomem.
Many students are looking for part-time jobs.	Wielu studentów szuka tymczasowej pracy.
Who called the police?	Kto wezwał policję?
I don't know what could've happened.	Nie wiem co mogło się stać.
Stop shooting.	Przestań strzelać.
Tom went there alone.	Tom poszedł tam sam.
I'm planning to study tonight.	Zamierzam studiować dziś w nocy.
They look exhausted.	Wyglądają na wymęczonych.
Tom cursed.	Tom zaklął.
Take a rest.	Odpocznij.
I never spend a day without thinking of you.	Nie ma dnia, bym o tobie nie myślał.
I often play tennis after school.	Często gram po szkole w tenisa.
Where's the bag with the oranges?	Gdzie jest torba z pomarańczami?
I don't want to lose you again.	Nie chcę cię znów stracić.
They have two sons and one daughter.	Mają dwóch synów i córkę.
It's been raining non-stop for three days.	Pada non stop od trzech dni.
